,importance
Pos2_LogP,0.08584001557636022
Pos6_LogP,0.08100543678091639
Pos1_Chi1,0.06997435634012766
Pos1_Chi0,0.04448366315236989
Pos1_LogP,0.034645700132602285
Pos6_MinPartCharge,0.033753705937925
Pos1_MolWt,0.03182102343821664
Pos2_MolWt,0.028957876138651077
Pos6_MolWt,0.028568198990146152
Pos2_Chi1,0.027599642252719946
Pos6_Chi0,0.02666206923570317
Pos5_LogP,0.025129698154076396
Pos1_isD,0.023615045091360986
Pos2_TPSA,0.02217371515627791
Pos1_MinPartCharge,0.01901747376391857
Pos4_isD,0.018323759383946137
Pos3_isD,0.01803553720578265
Pos2_MinPartCharge,0.016947865725234046
Pos5_isD,0.01617435936180977
Pos1_RotBonds,0.015500364808635836
Pos2_MaxPartCharge,0.015428952001033253
Pos6_Chi1,0.0151750984730582
Pos6_TPSA,0.013673887575549451
Pos2_Chi0,0.012685064586600504
Pos3_MaxPartCharge,0.012539650782451247
Pos6_MaxPartCharge,0.012080569211323727
Pos1_MaxPartCharge,0.01186189646519182
Pos5_MaxPartCharge,0.011216902658957785
Pos3_MinPartCharge,0.011006631526875385
Pos2_isD,0.0103566551561898
Pos4_TPSA,0.010326503492521342
Pos6_RotBonds,0.009845764053544434
Pos6_AromaticRings,0.009726451848572395
Pos5_MinPartCharge,0.009468389600583231
Pos1_isNSub,0.008418894904130917
Pos2_HBA,0.008404780655320144
Pos3_LogP,0.008278342007572406
Pos2_RotBonds,0.00807376725812185
Pos3_TPSA,0.007675188532823072
Pos5_Chi1,0.007492324311846767
Pos3_MolWt,0.007331287869434224
Pos3_Chi1,0.007026000098862639
Pos1_RingCount,0.006803637157710226
Pos3_Chi0,0.006375496664378648
Pos5_MolWt,0.006267633296421223
Pos5_RotBonds,0.0062520765182830325
Pos6_RingCount,0.005837008009962355
Pos1_AromaticRings,0.005824094379629059
Pos1_TPSA,0.005609813376658254
Pos5_Chi0,0.005271801202572774
Pos6_HBA,0.004082696207942025
Pos2_AromaticRings,0.0037915296644547665
Pos4_isNSub,0.003357478901705742
Pos5_TPSA,0.0031197616359673283
Pos3_RotBonds,0.0031112720708995575
Pos4_MaxPartCharge,0.003064808160490398
Pos4_LogP,0.003037616899340224
Pos2_isNSub,0.0030174479677910503
Pos2_RingCount,0.002840668284919873
Pos5_isNSub,0.0027523560193199958
Pos4_MinPartCharge,0.0025814754598188494
Pos3_isNSub,0.002477411631937055
Pos4_Chi1,0.0023481489361419274
Pos3_RingCount,0.00189358364531692
Pos4_Chi0,0.0018494704655318067
Pos4_MolWt,0.0015581777214270997
Pos5_RingCount,0.001551650958801286
Pos3_AromaticRings,0.0014540738323426969
Pos4_RingCount,0.0012724540175809915
Pos6_isNSub,0.0012482459074141222
Pos4_RotBonds,0.0010084536942371806
Pos5_AromaticRings,0.000869570745589729
Pos6_HBD,0.0007517973221260807
Pos6_isD,0.00033081523174597753
Pos3_HBA,0.00032940704842157294
Pos1_HBA,0.00027274069805014736
Pos1_HBD,0.00026911447019313474
Pos3_HBD,0.00026512465528903575
Pos5_HBA,0.00024867507639477073
Pos2_HBD,0.00022717088574471985
Pos5_HBD,0.00021826186828093094
Pos4_HBA,0.00013786161660587663
Pos4_HBD,5.265759379564091e-05
Pos4_AromaticRings,4.395040142065984e-05
