Pos_1_Symbol,Pos_1_IUPAC,Pos_2_Symbol,Pos_2_IUPAC,Pos_3_Symbol,Pos_3_IUPAC,Pos_4_Symbol,Pos_4_IUPAC,Pos_5_Symbol,Pos_5_IUPAC,Pos_6_Symbol,Pos_6_IUPAC
chir D=0.08 L=0.52 N=0.40,,chir D=0.00 L=1.00 N=0.00,,chir D=0.41 L=0.36 N=0.23,,chir D=0.21 L=0.41 N=0.38,,chir D=0.00 L=1.00 N=0.00,,chir D=0.29 L=0.36 N=0.35,
is_NSub prop=0.326,,is_NSub prop=1.000,,is_NSub prop=0.895,,is_NSub prop=0.000,,is_NSub prop=1.000,,is_NSub prop=0.605,
Asp(Ph(2-NH2)),(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid,P,(2S)-pyrrolidine-2-carboxylic acid,meF,(2S)-2-(methylamino)-3-phenylpropanoic acid,Abu,(2S)-2-aminobutyric acid,P,(2S)-pyrrolidine-2-carboxylic acid,Ala(tBu),"(2S)-2-amino-4,4-dimethylpentanoic acid"
I,"(2S,3S)-2-amino-3-methylpentanoic acid",,,Me_dF,(2R)-2-(methylamino)-3-phenylpropanoic acid,dAbu,(2R)-2-aminobutanoic acid,,,meF,(2S)-2-(methylamino)-3-phenylpropanoic acid
(N->O)xiIle,(2S)-2-hydroxy-3-methylpentanoic acid,,,Et_Phe,(2S)-2-(ethylamino)-3-phenylpropanoic acid,Aib,2-amino-2-methylpropanoic acid,,,Me_dF,(2R)-2-(methylamino)-3-phenylpropanoic acid
Lys(Tfa),"(2S)-2-amino-6-[(2,2,2-trifluoroacetyl)amino]hexanoic acid",,,"Me_Phe(a,b-dehydro)",(Z)-2-(methylamino)-3-phenylprop-2-enoic acid,Asp(Ph(2-NH2)),(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid,,,Bn_Gly,2-(benzylamino)acetic acid
L,(2S)-2-amino-4-methylpentanoic acid,,,PhEt_Gly,2-(2-phenylethylamino)acetic acid,H2NEt_Phe,(2S)-2-(2-aminoethylamino)-3-phenylpropanoic acid,,,PhEt_Gly,2-(2-phenylethylamino)acetic acid
(N->O)Leu,(2S)-2-hydroxy-4-methylpentanoic acid,,,PhPr_Gly,2-(3-phenylpropylamino)acetic acid,Hse(Et),(2S)-2-amino-4-ethoxybutanoic acid,,,pentyl_Gly,2-(pentylamino)acetic acid
meM,(2S)-2-(methylamino)-4-methylsulfanylbutanoic acid,,,cHexCH2_Gly,2-(cyclohexylmethylamino)acetic acid,Lys(Me),(2S)-2-amino-6-(methylamino)hexanoic acid,,,aMeLeu,"(2S)-2-amino-2,4-dimethylpentanoic acid"
Me_Nva,(2S)-2-(methylamino)pentanoic acid,,,Me_Hph,(2S)-2-(methylamino)-4-phenylbutanoic acid,Lys(Me2),(2S)-2-amino-6-(dimethylamino)hexanoic acid,,,Me_Nle,(2S)-2-(methylamino)hexanoic acid
Ser(isoamyl),(2S)-2-amino-3-(3-methylbutoxy)propanoic acid,,,bHph,(3S)-3-amino-4-phenylbutanoic acid,Lys(Tfa),"(2S)-2-amino-6-[(2,2,2-trifluoroacetyl)amino]hexanoic acid",,,Me_dNle,(2R)-2-(methylamino)hexanoic acid
Tle,"(2S)-2-amino-3,3-dimethylbutanoic acid",,,Me_Tyr(Me),(2S)-3-(4-methoxyphenyl)-2-(methylamino)propanoic acid,M,(2S)-2-amino-4-methylsulfanylbutanoic acid,,,Me_Tyr(Me),(2S)-3-(4-methoxyphenyl)-2-(methylamino)propanoic acid
Me_Tza,"(2S)-2-(methylamino)-3-(1,3-thiazol-4-yl)propanoic acid",,,Mono15,"(E,2S,3R,4R)-4-methyl-2-(methylamino)-3-(1-oxoethoxy)oct-6-enoic acid",Nva,(2S)-2-aminopentanoic acid,,,Mono17,"2-[(1R)-1-aminoethyl]-1,3-thiazole-4-carboxylic acid"
