,importance
Pos_1_logP,0.22593961211299454
Pos_6_logP,0.20625844891720443
Pos_2_logP,0.19583582603192426
Pos_5_logP,0.10410934005769976
Pos_3_logP,0.04603091173108112
Pos_2_is_Nme,0.031582967120515386
Pos_4_logP,0.03155451092340347
Pos_1_is_D,0.02631886146187893
Pos_3_is_Nme,0.025669332438872292
Pos_4_is_D,0.020067158912126296
Pos_5_is_D,0.0190987420107998
Pos_3_is_D,0.01855388313550671
Pos_5_is_Nme,0.017332368860065846
Pos_2_is_D,0.011978407078096007
Pos_1_is_Nme,0.010240383550392737
Pos_6_is_Nme,0.004141983790935799
Pos_4_is_Nme,0.0028926220307410404
Pos_6_is_D,0.0023946398357616683
