,importance
Pos_1_logP,0.2322591257255148
Pos_6_logP,0.19667033942859533
Pos_2_logP,0.17787268608838133
Pos_5_logP,0.08002320546089783
Pos_4_is_NSub,0.062441815174227595
Pos_3_logP,0.050519650646908706
Pos_1_chirality,0.030016532531855673
Pos_3_chirality,0.02815827453402029
Pos_5_chirality,0.02311353187897919
Pos_4_chirality,0.021721330259480528
Pos_2_chirality,0.017905497143499757
Pos_1_is_NSub,0.017902141489088957
Pos_4_logP,0.01679518609771197
Pos_3_is_NSub,0.015954720409939366
Pos_2_is_NSub,0.011279375444030635
Pos_5_is_NSub,0.008526839964935659
Pos_6_is_NSub,0.004444255452904005
Pos_6_chirality,0.004395492269028404
