Feature_1,Feature_2,Type,rho,p_value
Pos_1_logP,,main,0.27035769227519263,9.776542911990687e-36
Pos_2_logP,,main,0.4366926661012213,2.1127663203394397e-96
Pos_3_logP,,main,0.05886070172222966,0.007623159599389191
Pos_4_logP,,main,-0.7236815980421183,0.0
Pos_5_logP,,main,0.7927333370925215,0.0
Pos_6_logP,,main,-0.0344547439491241,0.11851454879375778
Pos_1_logP,Pos_2_logP,interaction,-0.02774113346531333,0.2088497736013051
Pos_1_logP,Pos_3_logP,interaction,-0.05227636327750328,0.01781702171117983
Pos_1_logP,Pos_4_logP,interaction,0.03339044337818556,0.13033263776959686
Pos_1_logP,Pos_5_logP,interaction,0.0012536153562403194,0.9547199404902604
Pos_1_logP,Pos_6_logP,interaction,-0.0008042084562668967,0.9709431517723703
Pos_2_logP,Pos_3_logP,interaction,0.0334788601808648,0.12931730565011165
Pos_2_logP,Pos_4_logP,interaction,-0.02167728519180805,0.3261219022772113
Pos_2_logP,Pos_5_logP,interaction,0.02242283841716705,0.3097549951546025
Pos_2_logP,Pos_6_logP,interaction,0.05288088212524031,0.016537293774750564
Pos_3_logP,Pos_4_logP,interaction,0.21953489109541313,7.765660434213363e-24
Pos_3_logP,Pos_5_logP,interaction,-0.1671653294979338,2.436297923865511e-14
Pos_3_logP,Pos_6_logP,interaction,-0.05333689118721475,0.015626043677061194
Pos_4_logP,Pos_5_logP,interaction,0.6420914017863716,4.034275165544155e-239
Pos_4_logP,Pos_6_logP,interaction,0.32259953574087924,5.865557345348488e-51
Pos_5_logP,Pos_6_logP,interaction,0.22791536772075224,1.3039408799220354e-25
